Method,Precision,Recall,F1-Score,Threshold,dataset
affinegap,0.00977214668000605,1.0,0.019355151975889898,0.9,area_names
jaccard,1.0,0.0,0.0,0.0,area_names
jaccard,0.9856321839080461,0.4051724137931034,0.5742732972356797,0.1,area_names
jaccard,0.9215517241379311,0.7155172413793104,0.8055691743385811,0.2,area_names
jaccard,0.7058018609742748,0.8620689655172413,0.7761479706995864,0.3,area_names
jaccard,0.34404655737311773,0.9310344827586207,0.5024295687992821,0.4,area_names
jaccard,0.1419027191628012,0.9568965517241379,0.24715382735475974,0.5,area_names
jaccard,0.060369673461983304,0.9741379310344828,0.11369348769960565,0.6,area_names
jaccard,0.03827320994896698,0.9827586206896551,0.07367708995964692,0.7,area_names
jaccard,0.019257310596644546,0.9913793103448276,0.037780739195088446,0.8,area_names
jaccard,0.00942344551797275,1.0,0.018670946389871556,0.9,area_names
jaccard_word,1.0,0.0,0.0,0.0,area_names
jaccard_word,1.0,0.008620689655172414,0.017094017094017096,0.1,area_names
jaccard_word,1.0,0.017241379310344827,0.03389830508474576,0.2,area_names
jaccard_word,0.9913793103448276,0.21551724137931033,0.354064039408867,0.3,area_names
jaccard_word,0.9913793103448276,0.22413793103448276,0.36561506480802153,0.4,area_names
jaccard_word,0.9870689655172413,0.3017241379310345,0.46217275977395916,0.5,area_names
jaccard_word,0.9568965517241379,0.5517241379310345,0.6999014778325122,0.6,area_names
jaccard_word,0.8210591133004925,0.7413793103448276,0.7791874930352275,0.7,area_names
jaccard_word,0.8098522167487685,0.7586206896551724,0.7833997574077283,0.8,area_names
jaccard_word,0.2607333970177527,0.896551724137931,0.40398165043920786,0.9,area_names
lavenstein,1.0,0.0,0.0,0.0,area_names
lavenstein,1.0,0.06896551724137931,0.12903225806451613,0.1,area_names
lavenstein,1.0,0.3448275862068966,0.5128205128205129,0.2,area_names
lavenstein,0.9827586206896551,0.646551724137931,0.779967159277504,0.3,area_names
lavenstein,0.9353448275862069,0.7758620689655172,0.8481716320680968,0.4,area_names
lavenstein,0.7964080459770115,0.896551724137931,0.8435179847061958,0.5,area_names
lavenstein,0.5194308874582709,0.9482758620689655,0.6712018906343512,0.6,area_names
lavenstein,0.20381305958211302,0.9655172413793104,0.33657730905117594,0.7,area_names
lavenstein,0.05043456820851809,0.9827586206896551,0.09594528345766414,0.8,area_names
lavenstein,0.011020587669193815,1.0,0.021800916427628186,0.9,area_names
